Produto,Lote,"G' 0,7Hz (Pa)","G'' 0,7Hz (Pa)","tan δ 0,7Hz","η* 0,7Hz (Pa.s)",G' 1Hz (Pa),tan δ 1Hz,Classificação
Rennova Lift Plus Lido,206031,475.85,34.33,0.07,103.22,481.87,0.07,Muito elástico (sustentação)
Saypha Volume Plus Lido,206020,488.91,35.54,0.07,106.06,494.62,0.07,Muito elástico (sustentação)
Hyafilia M Plus Lido,A11092601,526.31,83.47,0.16,115.29,539.16,0.16,Muito elástico (sustentação)
Restylane Skinbooster Lido,23887,562.82,148.26,0.26,125.92,588.77,0.26,Muito elástico (sustentação)
Yvoire Contour+ Lido,IVK25002,579.9,60.64,0.1,126.15,588.29,0.11,Muito elástico (sustentação)
Restylane Lido (lote 22647),22647,617.71,162.4,0.26,138.18,643.88,0.26,Muito elástico (sustentação)
Juvéderm Volux,1003958774,669.12,49.46,0.07,145.16,676.3,0.07,Muito elástico (sustentação)
Restylane Lyft Lido,21046-1,718.22,128.63,0.18,157.86,735.66,0.18,Muito elástico (sustentação)
Restylane Lido (lote 27003),27003,800.09,206.05,0.26,178.75,835.48,0.25,Muito elástico (sustentação)
Hyafilia V Plus Lido,A11102505,840.54,122.77,0.15,183.78,856.04,0.15,Muito elástico (sustentação)
Restylane Shaype Lido,23047,935.94,141.8,0.15,204.8,961.47,0.15,Muito elástico (sustentação)
